J
   366 -1722   583
   366   356  1783
   866   789  1033
   866 -1289  -167
   366 -1722   583
J
  -500 -1472   150
     0 -1039  -600
     0  1039   600
  -500   606  1350
  -500 -1472   150
J
   366   356  1783
  -500   606  1350
     0  1039   600
   866   789  1033
   366   356  1783
J
   366 -1722   583
   866 -1289  -167
     0 -1039  -600
  -500 -1472   150
   366 -1722   583
J
   866 -1289  -167
   866   789  1033
     0  1039   600
     0 -1039  -600
   866 -1289  -167
J
   366 -1722   583
  -500 -1472   150
  -500   606  1350
   366   356  1783
   366 -1722   583
J
  -610 -1094  -105
  -620  1362   640
  -110  -661  -855
  -610 -1094  -105
J
 -1129  -944  -365
  -629  -511 -1115
  -620  1362   640
 -1129  -944  -365
J
  -110  -661  -855
  -620  1362   640
  -629  -511 -1115
  -110  -661  -855
J
  -610 -1094  -105
 -1129  -944  -365
  -620  1362   640
  -610 -1094  -105
J
  -610 -1094  -105
  -110  -661  -855
  -629  -511 -1115
 -1129  -944  -365
  -610 -1094  -105
